189,34,2022-01-27,Completed,Alexandria,50.00,,18
190,132,2022-01-27,Completed,Cairo,30.00,,18
191,148,2022-01-27,Completed,Alexandria,50.00,,18
192,103,2022-01-27,Returned,Cairo,30.00,,9
193,212,2022-01-27,Returned,Alexandria,50.00,,11
194,491,2022-01-27,Completed,Luxor,50.00,,8
195,472,2022-01-28,Completed,Giza,30.00,,9
196,127,2022-01-28,Completed,Tanta,50.00,,3
197,21,2022-01-28,Completed,Mansoura,50.00,,8
198,279,2022-01-28,Completed,Giza,30.00,,8
199,140,2022-01-28,Completed,Suez,50.00,,9
200,279,2022-01-28,Completed,Alexandria,50.00,,10
201,77,2022-01-29,Completed,Cairo,30.00,,18
202,12,2022-01-29,Completed,Cairo,30.00,,3
203,32,2022-01-29,Pending,Tanta,50.00,,9
204,233,2022-01-29,Completed,Giza,30.00,,8
205,13,2022-01-29,Completed,Tanta,50.00,,3
206,285,2022-01-29,Completed,Assiut,50.00,,9
207,42,2022-01-30,Completed,Cairo,30.00,,18
208,207,2022-01-30,Completed,Cairo,30.00,,9
209,238,2022-01-30,Completed,Cairo,30.00,,9
210,65,2022-01-30,Completed,Aswan,50.00,,3
211,303,2022-01-30,Completed,Cairo,30.00,,18
212,45,2022-01-30,Completed,Giza,30.00,,18
213,10,2022-01-30,Completed,Mansoura,50.00,,10
214,7,2022-01-30,Cancelled,Cairo,30.00,,3
215,425,2022-01-30,Completed,Damietta,50.00,,18
216,76,2022-01-30,Completed,Giza,30.00,,3
217,469,2022-01-30,Completed,Cairo,30.00,,11
218,52,2022-01-30,Completed,Damietta,50.00,,9
219,221,2022-01-31,Completed,Giza,30.00,,9
220,298,2022-01-31,Completed,Cairo,30.00,,9
221,61,2022-01-31,Completed,Giza,30.00,,10
222,220,2022-01-31,Pending,Alexandria,50.00,,11
223,78,2022-01-31,Completed,Cairo,30.00,,18
224,369,2022-02-01,Completed,Mansoura,50.00,,10
225,473,2022-02-01,Cancelled,Suez,50.00,,8
226,455,2022-02-01,Cancelled,Suez,50.00,,8
227,106,2022-02-01,Completed,Giza,30.00,,9
228,100,2022-02-01,Completed,Cairo,30.00,,3
229,215,2022-02-01,Pending,Damietta,50.00,,11
230,143,2022-02-01,Completed,Cairo,30.00,,18
231,6,2022-02-02,Cancelled,Cairo,30.00,,9
232,241,2022-02-02,Completed,Assiut,50.00,,18
233,70,2022-02-02,Completed,Cairo,30.00,,18
234,214,2022-02-02,Completed,Cairo,30.00,,9
235,30,2022-02-02,Cancelled,Alexandria,50.00,,11
236,291,2022-02-02,Completed,Assiut,50.00,,18
237,321,2022-02-02,Completed,Damietta,50.00,,11
238,443,2022-02-03,Completed,Alexandria,50.00,,18
239,151,2022-02-03,Completed,Cairo,30.00,,9
240,414,2022-02-03,Completed,Cairo,30.00,,11
241,2,2022-02-03,Completed,Alexandria,50.00,,18
242,87,2022-02-03,Completed,Cairo,30.00,,11
243,81,2022-02-03,Pending,Assiut,50.00,,8
244,48,2022-02-03,Completed,Aswan,50.00,,18
245,344,2022-02-03,Completed,Cairo,30.00,,18
246,222,2022-02-03,Completed,Giza,30.00,,10
247,59,2022-02-04,Completed,Tanta,50.00,,9
248,476,2022-02-04,Completed,Luxor,50.00,,8
249,23,2022-02-04,Pending,Luxor,50.00,,10
250,227,2022-02-04,Completed,Cairo,30.00,,18
251,125,2022-02-04,Completed,Alexandria,50.00,,3
252,79,2022-02-04,Returned,Mansoura,50.00,,9
253,229,2022-02-04,Completed,Cairo,30.00,,8
254,190,2022-02-04,Returned,Cairo,30.00,,3
255,159,2022-02-04,Completed,Damietta,50.00,,18
256,233,2022-02-04,Returned,Alexandria,50.00,,3
257,41,2022-02-05,Completed,Damietta,50.00,,8
258,168,2022-02-05,Completed,Cairo,30.00,,18
259,71,2022-02-05,Cancelled,Cairo,30.00,,9
260,97,2022-02-05,Completed,Suez,50.00,,9
261,206,2022-02-05,Completed,Giza,30.00,,10
262,86,2022-02-06,Completed,Cairo,30.00,,3
263,126,2022-02-06,Completed,Alexandria,50.00,,3
264,55,2022-02-06,Completed,Cairo,30.00,,9
265,444,2022-02-06,Cancelled,Tanta,50.00,,10
266,320,2022-02-06,Completed,Alexandria,50.00,,3
267,73,2022-02-06,Cancelled,Damietta,50.00,,9
268,173,2022-02-06,Completed,Assiut,50.00,,18
269,211,2022-02-07,Completed,Cairo,30.00,,18
270,429,2022-02-07,Completed,Alexandria,50.00,,9
271,72,2022-02-07,Completed,Alexandria,50.00,,3
272,175,2022-02-07,Completed,Ismailia,50.00,,3
273,47,2022-02-07,Returned,Alexandria,50.00,,9
274,61,2022-02-07,Completed,Damietta,50.00,,9
275,247,2022-02-07,Completed,Cairo,30.00,,11
276,86,2022-02-07,Completed,Suez,50.00,,18
277,81,2022-02-07,Completed,Cairo,30.00,,3
278,27,2022-02-08,Pending,Luxor,50.00,,3
279,205,2022-02-08,Completed,Cairo,30.00,,3
280,191,2022-02-08,Completed,Mansoura,50.00,,11
281,376,2022-02-08,Completed,Cairo,30.00,,9
282,124,2022-02-08,Completed,Alexandria,50.00,,10
283,44,2022-02-08,Completed,Alexandria,50.00,,11
284,246,2022-02-08,Completed,Assiut,50.00,,3
285,33,2022-02-08,Completed,Cairo,30.00,,9
