1,1,19,1,4594.67
2,2,6,1,21585.41
3,2,2,2,30916.96
4,3,10,2,1190.07
5,3,34,1,288.57
6,3,36,3,713.95
7,4,5,1,8966.73
8,4,40,1,961.84
9,5,17,2,3965.12
10,5,33,1,253.79
11,6,4,1,8242.86
12,7,45,1,891.17
13,8,38,1,2917.82
14,9,6,1,21957.22
15,10,6,1,21197.51
16,10,32,2,221.83
17,10,8,1,465.64
18,11,9,1,5480.16
19,12,11,2,7478.85
20,12,34,1,288.98
21,12,36,1,703.87
22,13,9,3,5738.64
23,14,39,1,1788.51
24,15,24,1,2085.03
25,15,32,1,214.25
26,15,25,2,8525.93
27,16,32,3,223.47
28,16,20,1,3907.33
29,16,40,3,889.58
30,17,8,1,429.65
31,17,23,2,2683.07
32,18,22,1,5250.34
33,19,43,1,459.19
34,20,23,1,2750.49
35,20,22,2,5198.36
36,21,5,1,9322.36
37,22,5,3,9169.22
38,23,40,1,958.17
39,23,18,1,6428.78
40,24,37,3,1211.75
41,25,2,3,32642.42
42,25,24,1,2089.80
43,25,7,3,885.45
44,25,38,1,2761.94
45,26,10,1,1226.93
46,26,12,1,9395.23
47,27,42,1,1381.37
48,28,1,1,18802.17
49,29,42,3,1345.57
50,30,25,1,9305.59
51,31,12,1,9773.08
52,32,7,1,861.74
53,32,1,2,18331.98
54,33,44,3,772.82
55,33,18,1,6263.12
56,34,31,1,271.38
57,35,8,2,457.18
58,35,23,1,2699.99
59,36,12,1,9294.71
60,37,31,2,280.73
61,37,21,1,3233.92
62,38,3,1,2670.92
63,38,1,2,18070.76
64,39,8,1,462.68
65,39,15,2,3339.52
66,40,2,2,33426.22
67,41,21,3,3341.98
68,42,11,1,8130.36
69,42,42,1,1460.13
70,42,34,1,304.19
71,43,24,3,2120.75
72,43,32,1,214.29
73,43,36,1,682.75
74,44,2,1,33312.11
75,44,20,2,3735.18
76,44,7,1,859.63
77,45,9,3,5369.45
78,45,33,1,257.66
79,45,7,1,869.78
80,46,36,1,689.63
81,46,3,1,2919.37
82,47,25,1,8761.47
83,48,36,3,677.60
84,48,42,1,1346.16
85,48,2,1,31110.14
86,48,44,1,766.90
87,49,17,2,3762.95
88,49,16,1,2356.54
89,50,21,3,3332.79
90,51,38,1,2875.08
91,51,37,1,1173.39
92,52,1,1,18370.36
93,52,27,1,1528.42
94,53,10,1,1236.12
95,54,25,1,8498.14
96,55,30,1,1791.42
97,56,29,2,2108.26
98,57,29,1,2293.82
99,58,36,1,685.97
100,59,9,1,5236.27
101,59,23,1,2794.09
102,60,40,1,930.38
103,61,18,1,6678.02
104,62,12,1,9857.62
105,63,19,1,4383.17
106,64,17,1,3724.56
107,65,3,1,2787.22
108,66,8,2,442.89
109,67,26,1,17708.47
110,67,39,1,1862.25
111,67,7,1,809.95
112,68,32,1,217.33
113,69,11,1,7457.92
114,70,14,1,934.60
115,70,15,1,3154.83
116,70,43,3,496.72
117,70,10,1,1204.54
118,71,34,1,285.61
119,71,25,2,8993.54
120,71,15,1,3329.54
121,72,39,1,1727.86
122,72,6,1,21245.34
123,73,9,1,5272.86
124,74,12,3,9366.22
125,75,12,2,9388.33
126,76,1,1,19399.47
127,77,3,2,2824.18
128,77,14,1,931.20
129,77,8,2,464.46
130,78,10,1,1151.43
131,79,7,1,828.20
132,79,37,1,1167.08
133,80,6,1,21027.90
134,80,39,1,1837.57
135,81,28,1,435.79
136,81,7,1,868.32
137,82,45,1,870.40
138,82,32,1,222.19
139,83,29,1,2226.76
140,84,15,2,3150.12
141,84,1,2,17976.81
142,84,19,2,4312.28
143,85,41,1,2291.53
144,86,5,1,9006.46
145,86,19,2,4652.04
146,87,8,1,470.02
147,88,44,1,780.93
148,89,43,1,476.19
149,89,29,1,2102.85
150,89,32,1,219.36
151,90,27,1,1511.32
152,90,5,1,9495.66
153,90,9,1,5487.23
154,91,43,1,490.63
155,92,9,1,5596.34
156,93,41,1,2294.02
157,94,41,2,2229.17
158,95,16,1,2327.62
159,96,35,1,308.97
160,97,25,2,9030.94
161,97,41,1,2138.55
162,97,34,1,287.49
163,98,39,1,1715.21
164,98,20,2,3782.35
165,98,13,1,1873.50
166,99,35,3,308.75
167,99,37,1,1223.67
168,100,17,1,3837.79
169,101,25,1,9319.10
170,101,40,2,923.25
171,102,32,1,213.44
172,103,27,1,1557.36
173,103,22,1,5049.36
174,104,3,1,2736.94
175,104,7,2,876.73
176,105,11,1,7553.51
177,105,45,1,874.91
178,105,28,1,467.44
179,106,10,1,1259.21
180,107,23,1,2886.18
181,108,24,1,2060.94
182,109,40,3,897.94
183,109,31,1,274.22
184,110,11,1,8035.69
185,111,24,2,1999.55
186,112,9,1,5752.22
187,113,37,1,1204.06
188,113,27,1,1441.48
189,114,4,2,8819.44
190,114,27,2,1451.90
191,114,9,3,5631.83
192,115,40,1,893.83
193,115,29,1,2149.24
194,116,9,1,5390.64
195,117,43,1,493.80
196,117,24,1,2098.62
197,117,1,1,19160.51
198,118,45,1,836.82
199,118,43,1,483.23
200,118,1,2,17828.34
201,119,34,1,304.66
202,120,14,1,960.54
203,121,19,1,4581.29
204,122,10,1,1227.74
205,122,16,1,2293.46
206,122,13,1,1836.57
207,123,26,1,18478.69
208,124,26,1,18234.25
209,125,34,1,288.38
210,125,28,3,467.25
211,126,2,1,32010.82
212,126,4,1,8404.54
213,126,44,1,784.85
214,127,14,2,966.69
215,127,28,1,470.11
216,128,45,1,849.90
217,128,35,2,306.75
218,129,1,2,18759.21
219,130,19,2,4669.52
220,131,2,3,33335.13
221,131,36,1,694.63
222,132,13,1,1821.89
223,133,6,3,21723.24
224,133,37,2,1256.29
225,134,5,1,8840.95
226,134,7,1,883.97
227,134,22,2,5405.18
228,135,35,1,320.77
229,135,4,1,8618.08
230,136,3,1,2679.08
231,136,19,1,4397.37
232,137,26,1,18016.15
233,138,14,2,920.64
234,139,7,1,825.97
235,139,18,1,6382.82
236,140,13,1,1712.16
237,140,3,3,2804.57
238,141,19,1,4494.18
239,142,36,1,709.05
240,142,17,1,3947.66
241,142,3,2,2843.98
242,143,39,1,1810.58
243,144,31,1,268.62
244,144,45,1,886.37
245,145,34,3,288.38
246,146,31,1,282.22
247,146,25,2,8634.75
248,147,27,1,1555.47
249,148,2,3,32116.19
250,148,22,1,5072.90
251,149,5,1,9040.98
252,149,38,2,2812.72
253,150,16,3,2418.84
254,151,33,1,257.09
255,151,11,1,7483.53
256,152,45,1,813.16
257,152,31,1,288.80
258,152,22,3,5162.43
259,153,14,1,985.62
260,154,10,2,1180.92
261,155,30,1,1845.71
262,156,36,2,661.09
263,157,41,1,2252.50
264,158,21,1,3205.71
265,159,28,1,452.00
266,159,7,2,887.52
267,159,16,1,2499.86
268,160,9,1,5680.76
269,160,1,1,18897.80
270,160,41,1,2196.43
271,161,30,3,1881.02
272,162,33,1,255.30
273,163,31,1,276.92
274,163,42,1,1414.36
275,164,6,1,21005.71
