1,1,2022-01-03,Instapay,4609.67,Paid
2,2,2022-01-02,Cash,83431.33,Paid
3,3,2022-01-03,Vodafone Cash,4825.56,Paid
4,4,2022-01-01,Credit Card,9937.57,Failed
5,5,2022-01-02,Credit Card,8193.03,Paid
6,6,2022-01-03,Cash,8260.86,Paid
7,7,2022-01-01,Credit Card,903.17,Pending
8,8,2022-01-04,Vodafone Cash,2937.82,Paid
9,9,2022-01-03,Instapay,21982.22,Paid
10,10,2022-01-03,Credit Card,22115.81,Refunded
11,11,2022-01-05,Credit Card,5489.16,Paid
12,12,2022-01-03,Credit Card,15968.55,Failed
13,13,2022-01-05,Instapay,17230.92,Paid
14,14,2022-01-04,Credit Card,1810.51,Paid
15,15,2022-01-04,Credit Card,19360.14,Paid
16,16,2022-01-03,Vodafone Cash,7258.48,Failed
17,17,2022-01-05,Cash,5807.79,Paid
18,18,2022-01-04,Bank Transfer,5262.34,Paid
19,19,2022-01-04,Cash,468.19,Paid
20,20,2022-01-05,Instapay,13172.21,Paid
21,21,2022-01-04,Credit Card,9331.36,Paid
22,22,2022-01-05,Credit Card,27525.66,Failed
23,23,2022-01-05,Credit Card,7406.95,Paid
24,24,2022-01-06,Cash,3644.25,Paid
25,25,2022-01-04,Credit Card,105444.35,Paid
26,26,2022-01-05,Credit Card,10640.16,Paid
27,27,2022-01-06,Cash,1393.37,Paid
28,28,2022-01-06,Vodafone Cash,18820.17,Failed
29,29,2022-01-05,Bank Transfer,4045.71,Paid
30,30,2022-01-06,Cash,9314.59,Pending
31,31,2022-01-07,Credit Card,9782.08,Refunded
32,32,2022-01-08,Cash,37534.70,Paid
33,33,2022-01-08,Vodafone Cash,8590.58,Paid
34,34,2022-01-08,Cash,280.38,Paid
35,35,2022-01-08,Credit Card,3626.35,Paid
36,36,2022-01-08,Vodafone Cash,9306.71,Paid
37,37,2022-01-06,Credit Card,3807.38,Paid
38,38,2022-01-07,Cash,38837.44,Paid
39,39,2022-01-07,Instapay,7150.72,Paid
40,40,2022-01-09,Credit Card,66861.44,Failed
41,41,2022-01-09,Cash,10034.94,Paid
42,42,2022-01-09,Instapay,9919.68,Paid
43,43,2022-01-08,Credit Card,7274.29,Paid
44,44,2022-01-09,Cash,41651.10,Paid
45,45,2022-01-09,Instapay,17244.79,Paid
46,46,2022-01-09,Instapay,3618.00,Paid
47,47,2022-01-09,Cash,8770.47,Failed
48,48,2022-01-11,Credit Card,35271.00,Paid
49,49,2022-01-11,Cash,9894.44,Paid
50,50,2022-01-10,Cash,10010.37,Failed
51,51,2022-01-09,Cash,4057.47,Failed
52,52,2022-01-09,Vodafone Cash,19916.78,Paid
53,53,2022-01-11,Cash,1245.12,Paid
54,54,2022-01-09,Instapay,8507.14,Paid
55,55,2022-01-10,Vodafone Cash,1800.42,Pending
56,56,2022-01-12,Instapay,4228.52,Paid
57,57,2022-01-12,Vodafone Cash,2302.82,Paid
58,58,2022-01-12,Credit Card,703.97,Paid
59,59,2022-01-12,Instapay,8045.36,Paid
60,60,2022-01-10,Instapay,939.38,Paid
61,61,2022-01-10,Cash,6696.02,Paid
62,62,2022-01-10,Credit Card,9869.62,Paid
63,63,2022-01-13,Credit Card,4401.17,Paid
64,64,2022-01-13,Cash,3736.56,Refunded
65,65,2022-01-13,Credit Card,2809.22,Paid
66,66,2022-01-11,Cash,903.78,Paid
67,67,2022-01-13,Credit Card,20389.67,Paid
68,68,2022-01-11,Cash,226.33,Paid
69,69,2022-01-12,Vodafone Cash,7469.92,Paid
70,70,2022-01-14,Vodafone Cash,6793.13,Paid
71,71,2022-01-13,Credit Card,21614.23,Paid
72,72,2022-01-14,Credit Card,22982.20,Paid
73,73,2022-01-14,Credit Card,5284.86,Paid
74,74,2022-01-13,Vodafone Cash,28110.66,Paid
75,75,2022-01-12,Vodafone Cash,18801.66,Paid
76,76,2022-01-13,Bank Transfer,19411.47,Paid
77,77,2022-01-13,Credit Card,7520.48,Paid
78,78,2022-01-13,Bank Transfer,1169.43,Failed
79,79,2022-01-13,Vodafone Cash,2004.28,Refunded
80,80,2022-01-15,Instapay,22874.47,Pending
81,81,2022-01-14,Credit Card,1316.11,Paid
82,82,2022-01-13,Bank Transfer,1104.59,Paid
83,83,2022-01-15,Bank Transfer,2235.76,Refunded
84,84,2022-01-14,Instapay,50887.42,Paid
85,85,2022-01-14,Bank Transfer,2300.53,Paid
86,86,2022-01-14,Instapay,18319.54,Paid
87,87,2022-01-15,Cash,479.02,Pending
88,88,2022-01-16,Cash,795.93,Paid
89,89,2022-01-14,Vodafone Cash,2807.40,Refunded
90,90,2022-01-16,Credit Card,16519.21,Paid
91,91,2022-01-14,Instapay,499.63,Paid
92,92,2022-01-16,Credit Card,5618.34,Paid
93,93,2022-01-16,Credit Card,2303.02,Paid
94,94,2022-01-14,Vodafone Cash,4480.34,Refunded
95,95,2022-01-15,Vodafone Cash,2336.62,Paid
96,96,2022-01-17,Credit Card,317.97,Paid
97,97,2022-01-16,Credit Card,20499.92,Paid
98,98,2022-01-15,Credit Card,11162.41,Paid
99,99,2022-01-15,Credit Card,2158.92,Paid
100,100,2022-01-17,Instapay,3846.79,Failed
101,101,2022-01-17,Bank Transfer,11187.60,Paid
102,102,2022-01-17,Credit Card,231.44,Paid
103,103,2022-01-16,Credit Card,6615.72,Pending
104,104,2022-01-16,Cash,4512.40,Paid
105,105,2022-01-17,Bank Transfer,8907.86,Paid
106,106,2022-01-17,Vodafone Cash,1268.21,Paid
107,107,2022-01-18,Vodafone Cash,2904.18,Failed
108,108,2022-01-17,Vodafone Cash,2069.94,Paid
109,109,2022-01-18,Instapay,2977.04,Paid
110,110,2022-01-17,Vodafone Cash,8044.69,Pending
111,111,2022-01-16,Vodafone Cash,4008.10,Paid
112,112,2022-01-17,Vodafone Cash,5770.22,Paid
113,113,2022-01-18,Credit Card,2654.54,Paid
114,114,2022-01-16,Credit Card,37447.17,Paid
115,115,2022-01-17,Credit Card,3052.07,Paid
116,116,2022-01-17,Instapay,5408.64,Paid
117,117,2022-01-19,Instapay,21761.93,Paid
118,118,2022-01-17,Instapay,36988.73,Paid
119,119,2022-01-17,Credit Card,313.66,Paid
120,120,2022-01-17,Credit Card,975.54,Paid
121,121,2022-01-19,Bank Transfer,4599.29,Refunded
122,122,2022-01-19,Cash,5369.77,Paid
123,123,2022-01-18,Bank Transfer,18487.69,Failed
124,124,2022-01-18,Credit Card,18243.25,Paid
125,125,2022-01-20,Bank Transfer,1705.13,Paid
126,126,2022-01-19,Cash,41209.21,Refunded
127,127,2022-01-20,Credit Card,2412.49,Paid
128,128,2022-01-21,Bank Transfer,1472.40,Refunded
129,129,2022-01-20,Bank Transfer,37527.42,Paid
130,130,2022-01-19,Credit Card,9348.04,Paid
131,131,2022-01-21,Bank Transfer,100709.02,Paid
132,132,2022-01-19,Credit Card,1833.89,Paid
133,133,2022-01-19,Credit Card,67700.30,Paid
134,134,2022-01-19,Credit Card,20544.28,Paid
135,135,2022-01-20,Credit Card,8956.85,Paid
136,136,2022-01-20,Vodafone Cash,7098.45,Paid
137,137,2022-01-22,Cash,18025.15,Failed
138,138,2022-01-22,Credit Card,1853.28,Paid
139,139,2022-01-21,Instapay,7226.79,Paid
140,140,2022-01-22,Instapay,10134.87,Paid
141,141,2022-01-20,Instapay,4512.18,Paid
142,142,2022-01-22,Instapay,10369.67,Paid
143,143,2022-01-21,Instapay,1819.58,Paid
144,144,2022-01-22,Instapay,1176.99,Paid
145,145,2022-01-21,Cash,883.14,Refunded
146,146,2022-01-23,Credit Card,17560.72,Paid
147,147,2022-01-22,Credit Card,1564.47,Paid
148,148,2022-01-22,Credit Card,101436.47,Paid
149,149,2022-01-22,Credit Card,14688.42,Paid
150,150,2022-01-23,Vodafone Cash,7268.52,Failed
151,151,2022-01-24,Cash,7749.62,Paid
152,152,2022-01-22,Cash,16601.25,Paid
153,153,2022-01-22,Instapay,994.62,Pending
154,154,2022-01-22,Vodafone Cash,2373.84,Paid
155,155,2022-01-24,Cash,1867.71,Paid
156,156,2022-01-23,Credit Card,1334.18,Paid
157,157,2022-01-24,Cash,2272.50,Paid
158,158,2022-01-24,Credit Card,3214.71,Paid
159,159,2022-01-24,Credit Card,4735.90,Paid
160,160,2022-01-25,Bank Transfer,26783.99,Paid
161,161,2022-01-24,Vodafone Cash,5652.06,Paid
162,162,2022-01-26,Cash,264.30,Paid
163,163,2022-01-26,Instapay,1700.28,Failed
164,164,2022-01-26,Credit Card,21020.71,Refunded
165,165,2022-01-26,Instapay,6386.88,Paid
166,166,2022-01-25,Instapay,2000.22,Paid
167,167,2022-01-24,Vodafone Cash,507.44,Paid
168,168,2022-01-26,Bank Transfer,2362.28,Paid
169,169,2022-01-25,Cash,10670.19,Paid
170,170,2022-01-25,Vodafone Cash,4558.23,Paid
171,171,2022-01-24,Instapay,2753.97,Paid
172,172,2022-01-24,Vodafone Cash,24219.73,Failed
173,173,2022-01-26,Credit Card,11851.61,Failed
174,174,2022-01-27,Instapay,3862.03,Paid
175,175,2022-01-25,Bank Transfer,31319.44,Paid
176,176,2022-01-26,Cash,20106.84,Paid
177,177,2022-01-25,Instapay,5327.09,Paid
178,178,2022-01-27,Credit Card,37492.30,Paid
179,179,2022-01-25,Vodafone Cash,30845.56,Paid
180,180,2022-01-26,Bank Transfer,2449.66,Paid
181,181,2022-01-26,Instapay,14450.09,Paid
182,182,2022-01-25,Instapay,21157.15,Paid
183,183,2022-01-28,Instapay,1542.61,Pending
184,184,2022-01-26,Credit Card,6013.96,Failed
185,185,2022-01-27,Cash,1006.02,Paid
186,186,2022-01-26,Instapay,10907.44,Pending
187,187,2022-01-27,Credit Card,305.79,Paid
188,188,2022-01-29,Credit Card,8819.34,Pending
189,189,2022-01-27,Credit Card,5258.67,Paid
190,190,2022-01-27,Credit Card,723.06,Paid
191,191,2022-01-29,Credit Card,8653.56,Paid
192,192,2022-01-29,Instapay,32294.53,Refunded
193,193,2022-01-28,Bank Transfer,17897.33,Refunded
194,194,2022-01-27,Cash,9721.23,Paid
195,195,2022-01-29,Cash,15599.37,Paid
196,196,2022-01-30,Cash,8595.91,Paid
197,197,2022-01-30,Cash,668.75,Paid
198,198,2022-01-28,Credit Card,7633.08,Paid
199,199,2022-01-29,Cash,331.45,Paid
200,200,2022-01-28,Instapay,6540.44,Paid
201,201,2022-01-30,Credit Card,11380.53,Paid
202,202,2022-01-30,Credit Card,4758.08,Paid
203,203,2022-01-30,Credit Card,32297.25,Pending
204,204,2022-01-30,Credit Card,18361.22,Paid
205,205,2022-01-29,Instapay,2633.61,Paid
206,206,2022-01-29,Instapay,21689.63,Paid
207,207,2022-02-01,Credit Card,60857.54,Paid
208,208,2022-02-01,Credit Card,9941.67,Paid
209,209,2022-01-31,Instapay,8286.95,Paid
210,210,2022-01-30,Vodafone Cash,18989.55,Paid
211,211,2022-01-31,Credit Card,34659.96,Paid
212,212,2022-01-30,Bank Transfer,4364.46,Paid
213,213,2022-01-31,Vodafone Cash,43559.66,Paid
214,214,2022-02-01,Credit Card,9740.91,Failed
215,215,2022-01-30,Instapay,2260.05,Paid
216,216,2022-02-01,Credit Card,854.54,Paid
217,217,2022-01-31,Instapay,53063.28,Paid
218,218,2022-02-01,Bank Transfer,1472.88,Paid
219,219,2022-01-31,Instapay,19986.82,Paid
220,220,2022-01-31,Cash,8674.97,Paid
221,221,2022-01-31,Instapay,113966.05,Paid
222,222,2022-01-31,Instapay,7378.24,Pending
223,223,2022-02-02,Cash,28071.97,Paid
224,224,2022-02-01,Vodafone Cash,26267.84,Paid
225,225,2022-02-02,Credit Card,3088.75,Failed
226,226,2022-02-03,Cash,6248.83,Failed
227,227,2022-02-02,Cash,1455.99,Paid
228,228,2022-02-03,Bank Transfer,6674.25,Paid
229,229,2022-02-03,Cash,490.54,Pending
230,230,2022-02-03,Instapay,15821.35,Paid
231,231,2022-02-02,Instapay,11323.04,Failed
232,232,2022-02-03,Instapay,18788.34,Paid
233,233,2022-02-03,Credit Card,31454.22,Paid
234,234,2022-02-04,Vodafone Cash,72105.79,Paid
235,235,2022-02-04,Cash,11958.80,Failed
236,236,2022-02-03,Vodafone Cash,3771.62,Paid
237,237,2022-02-03,Cash,9360.89,Paid
238,238,2022-02-05,Credit Card,2290.59,Paid
239,239,2022-02-03,Vodafone Cash,3345.59,Paid
240,240,2022-02-05,Cash,2640.76,Paid
241,241,2022-02-04,Bank Transfer,3713.33,Paid
242,242,2022-02-04,Instapay,966.38,Paid
243,243,2022-02-03,Credit Card,54628.53,Pending
244,244,2022-02-04,Cash,959.43,Paid
245,245,2022-02-04,Credit Card,15120.04,Paid
246,246,2022-02-04,Credit Card,99954.38,Paid
247,247,2022-02-05,Instapay,6297.37,Paid
248,248,2022-02-05,Cash,14405.61,Paid
249,249,2022-02-06,Cash,704.74,Pending
250,250,2022-02-06,Vodafone Cash,15048.80,Paid
251,251,2022-02-04,Cash,30852.66,Paid
252,252,2022-02-06,Bank Transfer,3320.56,Refunded
253,253,2022-02-04,Instapay,5045.20,Paid
254,254,2022-02-06,Instapay,4901.77,Refunded
255,255,2022-02-05,Bank Transfer,781.84,Paid
256,256,2022-02-06,Credit Card,7286.59,Refunded
257,257,2022-02-07,Credit Card,13929.09,Paid
258,258,2022-02-07,Credit Card,11398.67,Paid
259,259,2022-02-06,Instapay,3381.73,Failed
260,260,2022-02-05,Cash,22582.52,Paid
261,261,2022-02-05,Credit Card,29599.23,Paid
262,262,2022-02-08,Instapay,5350.33,Paid
263,263,2022-02-08,Credit Card,1801.61,Paid
264,264,2022-02-08,Credit Card,11193.58,Paid
265,265,2022-02-08,Bank Transfer,12185.36,Failed
266,266,2022-02-07,Cash,1364.37,Paid
267,267,2022-02-07,Credit Card,9040.90,Failed
268,268,2022-02-08,Credit Card,3447.41,Paid
269,269,2022-02-08,Cash,5120.56,Paid
270,270,2022-02-07,Instapay,3881.41,Paid
271,271,2022-02-07,Cash,3083.99,Paid
272,272,2022-02-08,Cash,942.27,Paid
273,273,2022-02-09,Credit Card,2326.01,Refunded
